OBJECTID;Locatable;Excavated;Kanton;Fieldname;Municipality;Literatur;Quality;Number of mounds;NEL;EBA;MBA;LBA;HaC;HaD;ELT;EMA;HaC1;HaC2;HaD1;HaD23;LTA;Periods;HA Subperiods;Status objects;Cluster ID;PM_Raster;PM_Point;Altitude;Slope;Profile Curvature;Tangential Curvature;Positive-Negative;Vegetation;Total Viewshed;Skyline;Visibility Alps;Accessibility;Movement;Crop Suitability;Land-use_categories;Oldest Period
365;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.979733336;0.111273077;810.3453027;1.821332012;-5.01729E-05;-0.000264391;-0.561935489;Mixed Forest;63.0333341;11.68;0.375000002;6495.172922;0.088417826;0.051021297;Grassland;
366;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.620512822;0.11205;771.1534189;10.51621004;-0.000246169;-0.000104818;-0.027295285;Mixed Forest;22.90000025;10.61538462;0;6558.349912;0;0.006683689;Grassland;
367;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.690303033;0.150823611;808.8913352;1.838235151;6.92703E-05;-0.000340197;-0.617302055;Marsh;50.18571499;10.45454545;0.271428577;6428.709283;0.00130511;0.00489455;Grassland;
226;1;1;Neuchâtel;Le Chanet;Colombier;"Spielmann et al. 2022; Spielmann et al. 2023; Spielmann et al. 2024";1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0.995897435;0.180098611;636.6003841;4.443699066;0.000101245;0.000202073;0.009925558;Mixed Forest;295.7571477;7.538461538;198.9714334;6403.735194;0.021021598;0.023328;Shrubland;MBA
140;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.99794872;0.206607692;809.1597619;5.890571778;-0.000474862;0.001335885;0.657568244;Mixed Forest;140.3076947;32.46153846;0;6594.255558;0.078130931;0.123488044;Forests;
287;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.994117653;0.207813095;611.7024285;5.760587552;-0.00012333;0.00066549;0.629032258;Mixed Forest;149.2500019;30.52941176;102.9500012;6611.349957;0;0.322646143;Forests;
319;1;1;Waadt;Bois aux Allemands;Assens;"Viollier 1927, 34-35; Drack 1964, 41; Weidmann 1986; Kaenel 1990; Schmid-Sikimi? 1996";1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;3;3;0;1;0.983030308;0.210331818;675.9459506;1.565293388;-0.000355826;-5.01973E-05;0.152492664;Mixed Forest;113.8142864;15.09090909;0;6804.344691;0.406419513;0.23328;Shrubland;HAC
18;1;1;Solothurn;Studenweid;Däniken;"Schweizer 1946; Laur-Belart 1947; Lüscher 1983; Schmid-Sikimi? 1996";1;1;1;0;0;0;1;1;0;0;1;0;1;1;0;2;2;0;1;0.843076921;0.223842308;389.675685;5.176443962;-0.003883772;-0.000242674;0.039702232;Mixed Forest;146.6181821;2;0;6583.438482;0.006355615;0.370193571;Forests;NEL
370;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.980512825;0.22469881;835;2.51121E-05;1.57001E-07;1.56506E-07;0.683622823;Alluvial Forest;169.7285723;10.07692308;11.28571435;7088.511938;1.782758747;0.156675886;Shrubland;
138;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99925926;0.226766667;640.0227322;0.813245962;0.000308237;4.36692E-05;0.534050183;Mixed Forest;158.3473736;43.72222222;114.7368445;6751.530093;0.671701309;0.349496986;Forests;
160;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99952381;0.232965385;532.4532166;1.943442217;0.000111662;0.000322229;0.861751156;Mixed Forest;374.1272777;87.85714286;164.8909135;6538.097832;3.181868342;0.233000308;Forests;
149;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.833333332;0.233418056;867.5626925;6.522833663;0.002405046;0.000309044;0.272952853;Mixed Forest;34.96666733;15;0;6036.687078;0.029813614;0.013184544;Forests;
70;1;1;Bern;Sand;Urtenen;"Wiedmer-Stern 1908, 19-22; JbSGU 1962, 51; Schwab 1972";1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0.599999999;0.238272222;537.2225342;4.411320051;-0.001648664;-0.000282869;0.008064516;Mixed Forest;74.78333282;7.666666667;0;6696.441605;0.025956546;0.023178635;Grassland;HAD
414;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.970303026;0.241846552;558.6539529;1.694237395;-0.000120206;-0.000322781;0.057184749;Mixed Forest;29.35000022;12.81818182;117.5500005;6831.365301;0.003028264;0.346013904;Forests;
309;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.966666676;0.247468182;533.2006554;5.177340315;-0.001111147;0.001424726;0.315136473;Mixed Forest;184.3846171;27.76923077;12.46153875;6586.247785;2.374296849;0.214706774;Forests;
61;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.81555555;0.257659722;552.5868581;6.074831466;-0.002160303;0.001880924;0.584677428;Mixed Forest;5.916666786;15.83333333;0;6672.327636;0.15881561;0.065139341;Forests;
352;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.978787883;0.262342308;612.2008612;4.006540125;0.00027559;0.000183565;-4.33681E-19;Mixed Forest;85.07692366;11.45454545;104.4923084;6562.222202;1.345782871;0.044566808;Grassland;
239;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.924615388;0.263769697;685.5062115;5.172470276;0.000899744;0.000111106;0.531017377;Mixed Forest;78.6333348;10.23076923;27.03333422;7044.833611;0;0.253056462;Forests;
62;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.77641025;0.267842308;573.6300331;11.86454355;0.000316165;0.000588931;0.403225802;Mixed Forest;18.41666691;19.84615385;34.91666746;6826.973984;0;0.033907846;Forests;
127;1;0;;;;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.995438601;0.270347436;649.1119128;4.282066446;0.003089821;7.34158E-05;0.106112051;Mixed Forest;77.42222351;19.78947368;76.97777918;6788.366377;0.060615124;0.098313484;Forests;
274;1;1;Waadt;Arrena;Onnens;"Falquet 1999; Falquet 2000; Falquet 2009";1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0.884242432;0.27155641;481.243386;8.572840622;0.002827688;0.000412982;-0.063049851;Mixed Forest;116.2769246;21.90909091;23.96923172;6256.077792;2.609517877;0.081578145;Grassland;HAC
257;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.971111124;0.271852564;688.6570994;3.254020905;0.000939691;0.001095583;0.215053757;Mixed Forest;46.90000057;18.75;7.750000079;6937.286207;0.033060703;0.34992;Forests;
304;1;1;Fribourg;Fossard d'Enbras;Grandvillard;Kramer und Rubeli 2021;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;2;0;1;0.772380957;0.280294048;728.5683158;6.562557936;1.77817E-05;8.50457E-05;-0.294930872;Mixed Forest;100.230771;7.357142857;0;6490.997245;0;0.018283768;Forests;HAD
258;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.62358974;0.289477083;589.4286593;6.599950167;-0.000619507;-0.000912645;-0.210918108;Mixed Forest;19.23636358;12.69230769;0;6796.876192;0.050165177;0.309177;Forests;
153;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.99238096;0.291212821;649.4188058;6.701607977;0.00141172;0.000937538;0.35599078;Mixed Forest;72.72307733;24.5;87.46153905;6818.615981;0.302895402;0.069635378;Forests;
379;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.970222227;0.292837879;628.5669963;3.038563863;0.000744243;0.000278538;0.005376344;Mixed Forest;221.6571459;18.73333333;69.42857415;6377.36702;0.013279498;0.233247857;Forests;
157;1;0;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.996825397;0.2967875;489.3825771;2.555747123;0.001808537;7.41934E-05;0.551459298;Mixed Forest;328.2736881;131;119.052634;6710.536526;0;0.148355526;Forests;
66;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.673846155;0.298601282;587.12246;9.020790907;0.004763017;-2.83381E-05;-0.090570717;Mixed Forest;31.84615414;19.84615385;3.200000029;6844.783716;0;0.034677026;Constructed areas;
63;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.819583338;0.3050375;547.7691422;6.156974507;0.002311631;0.001820706;-0.086021502;Mixed Forest;22.26666718;12.375;7.773333518;6743.014607;0;0.030297544;Forests;
296;1;1;Fribourg;Forêt du Gros Dévin;Farvagny-le-Grand;"Wey 1993; Ramseyer 1996";1;5;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0.99963964;0.306801389;760;2.28551E-05;1.57002E-07;1.56508E-07;0.816913684;Mixed Forest;182.8666699;10.48648649;0;6691.999369;0.416292807;0.063279778;Forests;HAC
148;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.921538468;0.30699359;812.7587186;5.891836464;0.000829857;0.001666869;0.772952855;Mixed Forest;137.6461563;80.30769231;61.84615473;6993.853704;0;0.064453281;Forests;
303;1;1;Fribourg;Fin de la Porta;Grandvillard;Dafflon et al. 2001;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0.965238094;0.308765476;742.7484174;1.996426778;-3.80106E-06;-3.91377E-05;-0.286866358;Mixed Forest;99.84615561;7.071428571;0;6483.532042;0.052489905;0.024623906;Forests;HAC
355;1;1;Waadt;Champs-des-Bois;Rances;"Bonstetten 1855, 47; Bonstetten 1874; Viollier 1927, 299; Drack 1964, 52-53; Weidmann 1986; Kaenel 1990, Trachsel 2004; Dunning 2005, 224-225";1;2;0;0;0;0;0;1;1;0;0;0;0;1;1;2;1;1;1;0.886153849;0.315211111;639.389348;9.072663564;-0.001016667;-0.001628619;0.014888337;Mixed Forest;100.357145;20.38461538;107.0285732;6395.119712;0.299547916;0.034621714;Forests;HAD
354;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.941999996;0.315725641;603.7512634;4.124643779;1.55147E-05;0.000277558;-0.07096774;Mixed Forest;55.67692419;8.8;67.35384721;6402.794227;0.129430238;0.022405468;Forests;
359;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.805000007;0.316728205;639.1038564;4.183684414;0.002743138;2.10276E-05;-0.441687339;Mixed Forest;139.9285752;18.41666667;0;6655.050156;0.017251928;0.111553478;Forests;
73;1;1;Bern;Grauholz;Urtenen;"BBB Mss.h.h.XLV 31, Collectanea, Bericht heidnischer Grabhügel im Wald von Grauholz; SLA Ms L 3, Briefe Jahn Uhlmann 68; Drack 1959, 26; Trachsel 2004";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0.798888892;0.316827778;543.7516937;4.15176783;-0.000106173;-4.40272E-05;-0.239247306;Mixed Forest;61.61428642;6.75;0;6706.137919;0.014692687;0.127304389;Forests;
170;1;1;Neuchâtel;Grange Vallier;Enges;"Drack 1964, 33; Dunning 2005, 190-192";1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;2;0.953333334;0.317684615;896.0835042;4.361633658;0.000641158;0.001551294;0.197849456;Mixed Forest;169.1875029;72.6;236.6125011;6304.516109;0;0.02441313;Forests;HAC
325;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.976444447;0.317790278;719.7975342;4.415420254;-0.001193151;-0.000796163;-0.099999997;Mixed Forest;73.1000012;6.8;75.78571592;6730.401646;0.572550156;0.057173898;Forests;
121;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.98410257;0.32025;619.6552828;1.758485563;0.001247065;0.000276515;0.120347392;Mixed Forest;104.2571436;24.61538462;132.9142903;6560.267544;0.006280844;0.349089231;Forests;
324;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.972307691;0.320398889;727.7075289;1.688796383;-8.61914E-05;-0.000283042;0.040942927;Mixed Forest;139.8615417;7;78.09230981;6434.201053;0.235613196;0.046638498;Forests;
78;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.908205133;0.324797436;592.6417565;5.784923425;-5.55343E-05;-0.001214602;-0.777915634;Mixed Forest;22.49230781;13.07692308;0;6889.962469;0.08152861;0.064383861;Forests;
54;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.992820515;0.336537179;460.9376901;0.343698935;1.5698E-07;1.56528E-07;-0.171215876;Alluvial Forest;106.4833349;8.307692308;92.80000114;6716.436617;0.056912132;0.062146865;Forests;
108;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.991904761;0.336778205;575.2992554;3.261452668;0.000629877;-0.000226664;2.1684E-19;Mixed Forest;76.74666812;21.64285714;107.4266683;6593.559315;0.312397192;0.057327043;Shrubland;
58;1;1;Bern;Tannwald;Thunstetten (Bützberg);"von Fellenberg 1900, 40-43; Wiedmer-Stern 1904, 423-427; Tschumi 1953, 371-372; Drack 1960, 15-16; Wiedmer-Stern 1904, 423-427; Weidmann 1986; Hennig 1992; Schmid-Sikimi? 1996; Trachsel 2004";1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0.878974364;0.337417949;430.1669804;0.866540579;-0.000676436;-4.36756E-05;-0.040942927;Mixed Forest;196.950002;19.46153846;0;6754.777019;9.61354E-05;0.233243135;Forests;HAD
30;1;1;Bern;Unterhard;Langenthal;"SLA Ms Aq 16, Jahn Lutz, 209; BBB Mss.h.h.XLV.1 Jahn Skizzen; BBB Mss.h.h.XLV.24, Briefe an Bonstetten, 136; Materialien Heierli, Archiv AS, sub. Langenthal; Flückiger 1848; Jahn 1848; Bonstetten 1855; Bonstetten et al. 1876, 23-24; Wiedmer-Stern 1904, 40";1;3;0;0;0;0;1;1;1;1;1;1;1;1;1;4;4;1;1;0.996041667;0.338709896;457.9091158;0.628026985;-3.1906E-06;-1.92033E-05;0;Alluvial Forest;109.412905;9.90625;88.85806521;6677.014936;0.000951643;0.342305773;Shrubland;HAC
306;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.991794875;0.339573611;726.7813768;2.032666408;-4.2691E-05;0.000304327;-0.002304147;Mixed Forest;141.061541;9.076923077;0;6493.854941;1.251509786;0.05832;Forests;
43;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.785333329;0.339941667;491.457608;4.858314082;-0.001631419;0.000225304;0.00483871;Mixed Forest;122.923081;10.1;1.261538469;6728.848769;0;0.132537548;Forests;
13;1;1;Solothurn;Eichlibann;Boningen;Lüscher 1983;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0.344460714;420;1.26121E-05;1.56994E-07;1.56511E-07;-0.044930874;Mixed Forest;137.0307711;12.5;104.3846171;6460.654832;0.280118715;0.15680758;Forests;
20;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.964583334;0.349844792;394.8082504;0.872663479;0.000593266;3.88624E-05;0.039314515;Mixed Forest;139.9529455;5.6875;5.058823557;6645.550227;0;0.34909971;Grassland;
311;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.985714291;0.350946154;573.1232867;2.49275033;0.001006388;0.000193433;0.006912442;Mixed Forest;82.01538732;17.92857143;10;6358.349475;0;0.221997447;Grassland;
207;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99846154;0.354491111;569.531527;4.177185059;-0.000115692;0.000685671;0.420595527;Mixed Forest;131.8461562;28.23076923;104.9692318;6805.138679;0.08214038;0.349571077;Forests;
224;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.950909089;0.35805119;530.7689708;7.071672721;0.000269463;-0.000214767;-0.017595307;Mixed Forest;286.8923093;7.636363636;181.4000009;6250.75559;0.103470779;0.109384615;Grassland;
237;1;1;Fribourg;Geneivroz;Châtonnaye;Peissard 1941, 37;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.983888889;0.361705128;708.7845968;3.233881846;0.001362841;0.000413846;-0.307795701;Mixed Forest;36.27272849;8.583333333;0;6552.226354;0.084101183;0.256069658;Forests;
251;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.86388889;0.36362381;694.0654399;2.501796226;0.000953756;0.000387415;0.00672043;Mixed Forest;42.55000051;6.166666667;0;6263.120225;0.010422059;0.167748469;Forests;
10;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.872222225;0.364063889;476.3216807;6.731534282;-0.000460788;-0.001026898;0.538978497;Mixed Forest;167.9230816;8.666666667;7.03076933;7178.953572;0.002243158;0.207819;Forests;
16;1;0;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.889206344;0.364836508;478.4265689;7.954382193;-0.000642379;4.78129E-05;0.178955448;Mixed Forest;167.6736876;6.761904762;128.2842122;6799.195775;0;0.0628;Grassland;
81;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.98769231;0.368892308;510;1.5325E-05;1.56999E-07;1.5651E-07;0;Alluvial Forest;138.4153888;13.07692308;27.06153914;6317.674353;0.026089657;0.140000861;Forests;
82;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.948484854;0.369743939;536.3372747;2.992773423;-0.000796749;-0.000740434;-0.007331378;Mixed Forest;146.7000062;15;0;6504.622911;0.108895142;0.2187;Forests;
19;1;1;Solothurn;Hard;Obergösgen;"Furrer 1904/1905; Lüscher 1981; Lüscher 1983; Schmid-Sikimi? 1996";1;1;0;0;0;0;1;1;1;0;0;1;1;0;1;3;2;0;1;0.99904762;0.371534524;395;0.039455791;-7.35986E-05;1.71632E-05;-0.016129032;Mixed Forest;114.3272747;7.428571429;6.654545524;6668.701645;0;0.349532747;Forests;HAC
90;1;0;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.999583334;0.376023077;639.1131172;2.230058269;0.000805685;0.000393549;0.795362905;Mixed Forest;242.447061;65.875;51.57647032;6903.018666;0;0.157464;Forests;
363;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99948718;0.3771;848.3248056;2.652807547;0.00036086;0.000527832;0.763027287;Mixed Forest;147.8461562;41.30769231;46.9846165;6807.617339;0.054353453;0.174660923;Grassland;
218;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.946111118;0.37870641;604.9172974;8.434365153;0.000657876;-4.36131E-05;0.155913974;Mixed Forest;267.290913;13.33333333;178.2909116;6756.420045;0.141991925;0.015375291;Forests;
60;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.969230771;0.379605128;560.0748667;1.135454789;-0.000283325;-8.63073E-05;0.710918119;Mixed Forest;6.246153978;13.53846154;0;6720.461433;1.192773568;0.099142702;Forests;
250;1;1;Fribourg;Les Charettes;Saint-Aubin;Bär & Ruffieux 2022;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;2;2;0;2;0.99846154;0.380291667;511.8785987;1.674413177;2.10395E-05;0.000285878;0.006203474;Mixed Forest;306.2333399;79.23076923;95.15000153;6700.337445;0;0.276069808;No vegetation coverage;
219;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.903589748;0.380712821;581.5850924;6.656398241;0.000477131;-0.001232081;-0.194789076;Mixed Forest;232.1846184;17.84615385;174.3692322;6775.478977;0.299645175;0.036015694;Forests;
217;1;1;Fribourg;Les Daillettes;Villars-sur-Glâne;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.978461541;0.386618056;502.8977966;2.273315787;3.76528E-05;-0.000569188;0.001240695;Mixed Forest;43.83333397;11.46153846;103.3500017;6474.238196;0.114604997;0.319036154;Forests;
38;1;1;Bern;Bännli;Bannwil;"BBB Mss.h.h.XLV.41 Edmund v. Fellenberg, Fundnotizen, Tagebuch der Ausgrabungen bei Bannwil etc; Drack 1960, 12-13";1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;2;2;1;2;0.86714286;0.386714286;453.9240723;6.487441457;0.005279663;0.000611072;-0.237327185;Mixed Forest;108.8307718;11.07142857;144.4769255;6601.804975;0;0.129965905;Forests;HAC
128;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.947692307;0.386855952;620;0.116589209;0.000179266;-1.57053E-05;-0.380376344;Marsh;25.98461577;5.384615385;92.41538708;6492.43485;0.120361469;0.021024432;Forests;
36;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.827878779;0.395751515;441.731437;11.36747497;0.005486987;0.002119987;0.090909088;Mixed Forest;190.6461581;15.81818182;0;6908.983962;0.204168198;0.088650913;Forests;
37;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.968666673;0.398348333;448.5438599;3.900552619;0.001962519;0.000506009;-0.23870967;Mixed Forest;173.4461576;23.6;135.3230773;6727.53326;0.08800083;0.132229982;Forests;
171;1;1;Neuchâtel;La Baraque;Cressier;"Vouga 1936; Vouga 1937; Drack 1964, 23-24; Schmid-Sikimi? 1996; Dunning 2005, 185-189; Kraese et al. 2018";1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0.894358974;0.400227381;732.0123244;8.654047526;-0.001080904;0.000422847;0.00248139;Mixed Forest;196.2153884;6.692307692;215.6769292;6472.203581;0.364176759;0.015483462;Forests;MBA
375;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.9974359;0.406683333;678.1148353;4.185776807;0.001241682;0.001286024;0.071960296;Mixed Forest;219.3818221;46.61538462;63.18181992;6526.313408;0.254374158;0.12712815;Forests;
412;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.99939394;0.413901389;559.4164706;1.358046014;0.000556592;1.84637E-05;0.042521993;Mixed Forest;102.9571446;46.36363636;112.7857159;6686.265983;1.71059807;0.34992;Forests;
252;1;0;;;;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.909285718;0.416013636;721.7047446;1.925647251;-0.000257484;0.000118632;-0.426843316;Mixed Forest;60.45926101;5.428571429;0;6861.30045;0.53905588;0.153266124;Forests;
289;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.983636368;0.416160606;767.4938133;6.041660092;0.002149415;0.000921598;0.10703812;Mixed Forest;110.342859;14.81818182;0;6870.939323;0;0.133806214;Forests;
408;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.954666678;0.418370513;879.9002238;1.31957687;0.001419853;0.000212861;0.731182794;Mixed Forest;128.4000037;58.4;11;6673.400278;0.003925527;0.050651335;Forests;
360;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.870769235;0.421725758;680.7292903;14.75549918;0.001910486;0.002458105;-0.395781632;Alluvial Forest;59.52857188;13.07692308;2.857142891;6797.558863;0.052329681;0.013007132;Forests;
4;1;0;;;;;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.974666667;0.42289;510.3760335;0.951820994;-6.71961E-05;1.3807E-06;0.010215054;Mixed Forest;55.51428686;15.1;62.51428659;6403.548757;0.016883505;0.072190375;Forests;
173;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.957222223;0.423076389;791.8484039;5.220514258;0.001808604;0.000209466;-0.271505373;Mixed Forest;199.7384632;47;224.2923138;6931.748014;0;0.072723692;Forests;
387;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99666667;0.424847222;596.2994952;7.245102576;0.003534995;0.000417091;0.565668204;Mixed Forest;287.0545529;169;46.38181894;6999.98208;0.868177059;0.284904;Forests;
174;1;1;Bern;Les Combettes;Prêles;Schär et al. 2019;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0.886111115;0.426865278;811.5203501;2.396196961;-5.74088E-05;0.000263397;-0.407258057;Mixed Forest;114.0166683;27.58333333;230.716671;6449.329686;0;0.025971404;Forests;MBA
364;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.789411767;0.427270667;721.9003332;4.758573648;0.000650219;0.001177171;0.338709673;Mixed Forest;52.65333405;7.058823529;0;6885.113044;0.037116794;0.135069763;Forests;
162;1;1;Bern;Holenhölzli;Hermrigen;"StaZH W I 3 174.7, Brief von E. Müller and F. Keller; StaZH W I 3 111.6, Zeichnungsbücher 50; BBB Mss.h.h.XLV.31 Nachlass Uhlmann Collectanea; Jahn 1850, 449; von Bonstetten et al. 1876, 19; Tschumi 1930, 49; Tschumi 1953, 236; Kilian-Dirlmeier 1975, 51; ";1;6;0;0;0;0;1;1;0;0;0;0;0;1;0;2;2;1;1;0.997094018;0.428569298;444.7495501;0.177994068;6.50266E-06;-2.41388E-07;-0.308932999;Mixed Forest;249.7128237;17.35897436;32.78974435;6254.694087;0.296346145;0.066523879;Forests;HAC
74;1;1;Bern;Walholz;Scheunen;"Wiedmer-Stern 1909, 10; Tschumi 1953, 337; Drack 1959, 25-26";0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;2;1;0;1;0.908627447;0.428679412;549.9443754;0.473147998;0.000461138;5.80716E-05;-0.061669827;Mixed Forest;48.71250129;4.411764706;80.23750234;6636.063971;0.121663301;0.272678906;Forests;
358;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.991282055;0.431329167;619.7310979;2.983789406;0.0031906;6.84272E-05;0.202233245;Mixed Forest;112.6769257;16.53846154;105.6307713;6795.463415;0.184767229;0.053965847;Forests;
102;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.917575755;0.432705556;591.1721247;6.525414033;0.000916542;0.001854783;0.256598234;Mixed Forest;118.600001;17;3.849999984;6423.464236;0.021683864;0.202073192;Forests;
307;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.842777781;0.433366667;724.8273163;1.981046816;-0.000398025;-0.000251273;0.409946231;Mixed Forest;137.1692352;11.5;0;6486.145186;0;0.012042397;Forests;
151;1;1;Bern;Hirschenhubel;Neuenegg;"StaZH W I 3 174.15, Brief von G. von Bonstetten and F. Keller 5. August 1861; von Bonstetten 1860, 27; Bonstetten et al. 1876, 28; Tschumi 1953, 305; Drack 1958, 25; Schmid-Sikimi? 1996";1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;2;2;0;1;0.994871795;0.434703205;640.35622;1.192644861;-0.000173271;0.000156298;0.09925558;Mixed Forest;36.96363796;15;80.41818237;6777.72344;0.316366904;0.098252084;Forests;HAC
